epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,321.76,0.27215,0.3198,0.43919,0.83437,0.99855,0.99965,0.995,0.98815,0.99855,0.99965,0.995,0.98845,0.21036,0.21077,0.18497,0.77957,0.00332782,0.00332782,0.00332782
2,642.422,0.32827,0.28209,0.2872,0.84617,0.99709,0.99804,0.99477,0.98271,0.99827,0.99651,0.99496,0.98721,0.21908,0.19008,0.20618,0.78377,0.00659521,0.00659521,0.00659521
3,1075.85,0.37614,0.33201,0.32772,0.86336,0.95984,0.97387,0.98088,0.92796,0.96179,0.97425,0.9843,0.94073,0.32088,0.37612,0.32467,0.82136,0.0097966,0.0097966,0.0097966
4,1393.88,0.39072,0.3768,0.34045,0.86754,0.99397,0.99709,0.99499,0.98518,0.99397,0.99709,0.99499,0.98236,0.22784,0.22722,0.21266,0.7881,0.009703,0.009703,0.009703
5,1780.84,0.36178,0.34536,0.307,0.85854,0.99555,0.99884,0.99496,0.9886,0.99555,0.99884,0.99496,0.98753,0.19965,0.1986,0.20095,0.78402,0.009604,0.009604,0.009604
6,2100.88,0.33966,0.32506,0.28721,0.85266,0.99606,0.99651,0.99498,0.98949,0.99606,0.99651,0.99498,0.9881,0.18855,0.20542,0.17574,0.78001,0.009505,0.009505,0.009505
7,2428.79,0.31766,0.29934,0.26459,0.84592,0.99971,0.99936,0.995,0.99219,0.99995,0.99942,0.995,0.98988,0.17537,0.19198,0.1664,0.77542,0.009406,0.009406,0.009406
8,2785.98,0.30192,0.29342,0.25019,0.84244,0.99884,0.99959,0.995,0.99263,0.99884,0.99959,0.995,0.99116,0.1662,0.17705,0.15781,0.77474,0.009307,0.009307,0.009307
9,3271.95,0.29312,0.29061,0.24386,0.83974,0.99987,0.99942,0.995,0.99196,0.99987,0.99942,0.995,0.99102,0.15585,0.17143,0.14967,0.77217,0.009208,0.009208,0.009208
10,3595.58,0.2857,0.2811,0.23672,0.837,0.99908,0.99971,0.995,0.99277,0.99913,0.99966,0.995,0.99203,0.15867,0.17782,0.14655,0.77297,0.009109,0.009109,0.009109
11,3910.89,0.27923,0.28126,0.2273,0.83561,0.99652,0.99971,0.995,0.99269,0.99652,0.99971,0.995,0.99004,0.15791,0.18016,0.14498,0.77123,0.00901,0.00901,0.00901
12,4225.52,0.27558,0.27894,0.22267,0.83402,0.99938,1,0.995,0.99377,0.99938,1,0.995,0.99167,0.13917,0.17394,0.12904,0.76802,0.008911,0.008911,0.008911
13,4540.44,0.26762,0.2712,0.21667,0.83309,0.99992,1,0.995,0.99326,0.99992,1,0.995,0.99103,0.13749,0.17051,0.12626,0.76999,0.008812,0.008812,0.008812
14,4855.24,0.26083,0.2541,0.20934,0.83095,0.99841,0.99942,0.995,0.99422,0.99841,0.99942,0.995,0.99198,0.1336,0.16925,0.12472,0.76946,0.008713,0.008713,0.008713
15,5169.69,0.2578,0.26198,0.20707,0.83012,0.99967,0.99971,0.995,0.99393,0.99996,1,0.995,0.99273,0.13552,0.15811,0.12376,0.76695,0.008614,0.008614,0.008614
16,5485.65,0.25636,0.25809,0.20459,0.82744,0.99994,0.99971,0.995,0.99384,0.99998,1,0.995,0.99255,0.13334,0.17102,0.11557,0.76754,0.008515,0.008515,0.008515
17,5805.04,0.24951,0.25489,0.19805,0.82783,0.99997,1,0.995,0.99425,0.99997,1,0.995,0.99207,0.13223,0.16867,0.11916,0.76777,0.008416,0.008416,0.008416
