epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,383.77,0.27427,0.3138,0.45894,0.8342,0.99852,0.99971,0.995,0.988,0.99855,0.99982,0.995,0.98965,0.15965,0.13009,0.55245,0.60045,0.00332858,0.00332858,0.00332858
2,746.032,0.33018,0.28463,0.29306,0.84747,0.99457,0.99622,0.99495,0.98822,0.99457,0.99622,0.99495,0.98781,0.16504,0.15468,5.58581,0.60987,0.00659597,0.00659597,0.00659597
3,1107.6,0.377,0.34474,0.33814,0.86251,0.95641,0.96417,0.98194,0.94942,0.95612,0.96388,0.9816,0.94364,0.22886,0.30348,21.1504,0.62479,0.00979735,0.00979735,0.00979735
4,1468.65,0.39361,0.37942,0.35749,0.86647,0.977,0.99476,0.99452,0.98361,0.977,0.99476,0.99452,0.98052,0.16925,0.18957,13.5493,0.60917,0.009703,0.009703,0.009703
5,1828.8,0.36014,0.34671,0.31537,0.85699,0.99831,0.99767,0.995,0.9894,0.99831,0.99767,0.995,0.98828,0.15297,0.1502,2.60989,0.60161,0.009604,0.009604,0.009604
6,2188.49,0.33675,0.32954,0.28985,0.85194,0.99565,0.99863,0.99471,0.99068,0.99565,0.99863,0.99471,0.98988,0.14918,0.13571,3.30638,0.60295,0.009505,0.009505,0.009505
7,2547.76,0.31721,0.30792,0.27321,0.84428,0.99493,0.99884,0.99499,0.99188,0.99522,0.99913,0.99499,0.99051,0.13152,0.1322,5.04228,0.5987,0.009406,0.009406,0.009406
8,2908.09,0.30515,0.28964,0.25635,0.84068,0.9969,0.99884,0.99499,0.99191,0.99761,0.99942,0.995,0.98856,0.1291,0.15231,4.5174,0.59808,0.009307,0.009307,0.009307
9,3268.54,0.29287,0.2919,0.24699,0.83982,0.98883,0.99942,0.9925,0.99079,0.98912,0.99971,0.9925,0.9878,0.12192,0.13745,8.01086,0.59645,0.009208,0.009208,0.009208
10,3628.11,0.2843,0.27731,0.23504,0.83572,0.99987,0.99942,0.995,0.99351,0.99985,0.99942,0.995,0.99186,0.11949,0.12634,0.65855,0.5971,0.009109,0.009109,0.009109
11,3988.62,0.27842,0.27562,0.23095,0.83475,0.9994,0.99942,0.995,0.9932,0.9994,0.99942,0.995,0.99115,0.11654,0.12184,0.60551,0.59535,0.00901,0.00901,0.00901
12,4348.51,0.26998,0.2645,0.22427,0.83303,0.99768,0.99955,0.99487,0.99357,0.99797,0.99991,0.99487,0.99176,0.10652,0.12188,1.32462,0.59337,0.008911,0.008911,0.008911
13,4708.46,0.26659,0.2676,0.22111,0.83207,0.99916,0.99942,0.995,0.99401,0.99916,0.99942,0.995,0.99293,0.10302,0.11785,0.9538,0.59248,0.008812,0.008812,0.008812
14,5068.52,0.26643,0.27195,0.22081,0.83415,0.99991,0.99942,0.995,0.99398,0.99991,0.99942,0.995,0.99147,0.10819,0.1271,0.40855,0.59421,0.008713,0.008713,0.008713
15,5427.02,0.2629,0.2634,0.21569,0.82936,0.99995,1,0.995,0.99433,0.99995,1,0.995,0.99286,0.10178,0.11785,0.24223,0.59251,0.008614,0.008614,0.008614
16,5785.09,0.25482,0.25745,0.2072,0.82624,0.9997,0.99971,0.995,0.99391,0.9997,0.99971,0.995,0.99184,0.10169,0.12752,0.23785,0.59256,0.008515,0.008515,0.008515
17,375.346,0.24869,0.25235,0.20084,0.82725,0.99882,0.99884,0.99493,0.99388,0.99882,0.99884,0.99493,0.99271,0.0961,0.12114,1.25891,0.59094,0.008416,0.008416,0.008416
18,735.99,0.24872,0.25131,0.20111,0.82799,0.99966,1,0.995,0.99404,0.99966,1,0.995,0.99259,0.09545,0.11808,0.35946,0.5908,0.008317,0.008317,0.008317
19,1099.2,0.24381,0.25037,0.19809,0.82722,0.9997,1,0.995,0.99428,0.9997,1,0.995,0.99293,0.09459,0.12064,0.41698,0.59189,0.008218,0.008218,0.008218
20,1464.33,0.24322,0.24601,0.19643,0.82495,0.99883,1,0.995,0.99466,0.99883,1,0.995,0.99247,0.09697,0.12006,0.84896,0.59166,0.008119,0.008119,0.008119
21,1826.85,0.23711,0.24162,0.18988,0.8229,0.99967,1,0.995,0.99437,0.99967,1,0.995,0.99313,0.09158,0.1162,0.28434,0.59086,0.00802,0.00802,0.00802
22,2187.51,0.23877,0.24578,0.1896,0.82638,0.9997,1,0.995,0.99424,0.9997,1,0.995,0.99298,0.09182,0.11696,0.45222,0.58967,0.007921,0.007921,0.007921
23,2547.01,0.23455,0.24309,0.18681,0.82227,0.99992,0.99971,0.995,0.99466,0.99992,0.99971,0.995,0.99322,0.09059,0.11666,0.30647,0.5899,0.007822,0.007822,0.007822
24,2907.06,0.23202,0.23768,0.18167,0.82096,0.99932,0.99971,0.995,0.99452,0.99932,0.99971,0.995,0.99269,0.09114,0.11764,0.38986,0.5909,0.007723,0.007723,0.007723
25,3267.22,0.23053,0.23917,0.18351,0.82284,0.99971,0.99999,0.995,0.99435,0.99971,0.99999,0.995,0.99317,0.08745,0.11996,0.21477,0.58985,0.007624,0.007624,0.007624
26,3627.24,0.22706,0.23467,0.18194,0.82113,0.99996,1,0.995,0.99475,0.99996,1,0.995,0.99345,0.08418,0.11405,0.20001,0.58813,0.007525,0.007525,0.007525
27,3988.15,0.22744,0.23479,0.17929,0.82146,1,0.99986,0.995,0.99468,1,0.99986,0.995,0.9926,0.08708,0.11601,0.27381,0.58997,0.007426,0.007426,0.007426
28,4348.17,0.22449,0.23152,0.17593,0.82053,0.99998,1,0.995,0.99468,0.99998,1,0.995,0.99313,0.08277,0.11554,0.09276,0.58925,0.007327,0.007327,0.007327
29,4708.07,0.22356,0.23257,0.17347,0.821,1,0.99992,0.995,0.99465,1,0.99992,0.995,0.99321,0.08305,0.11391,0.07768,0.58908,0.007228,0.007228,0.007228
30,5068.04,0.22469,0.23426,0.17372,0.82291,0.99985,0.99971,0.995,0.99463,1,0.99989,0.995,0.99337,0.0832,0.11438,0.23846,0.58955,0.007129,0.007129,0.007129
31,5430.14,0.22428,0.23276,0.17303,0.81934,0.99998,1,0.995,0.99472,0.99998,1,0.995,0.99335,0.07957,0.11373,0.09434,0.58849,0.00703,0.00703,0.00703
32,369.306,0.21725,0.22733,0.16732,0.81853,0.99969,1,0.995,0.99474,0.99989,1,0.995,0.99374,0.07847,0.11386,0.0714,0.58831,0.006931,0.006931,0.006931
